input_text,target_text
他又來跟我借錢了，我是什麼很賤的人嗎？,他又來跟我借錢了，我是什麼超級倒楣的人嗎？
他來跟我借錢了，我是什麼很賤的人嗎？,他來跟我借錢了，我是什麼超級倒楣的人嗎？
我是什麼很賤的人嗎？他又來跟我借錢了,我是什麼超級倒楣的人嗎？他又來跟我借錢了
我是什麼很賤的人嗎？他來跟我借錢了,我是什麼超級倒楣的人嗎？他來跟我借錢了
我是什麼很賤的人嗎？,我是什麼超級倒楣的人嗎？
我是什麼很賤的人嗎？無語死了,我是什麼超級倒楣的人嗎？無話可說了
無語死了，我是什麼很賤的人嗎？,無話可說了，我是什麼超級倒楣的人嗎？
為什麼又來跟我借錢了?我是什麼很賤的人嗎？,為什麼又來跟我借錢了?我是什麼超級倒楣的人嗎？
我是什麼很賤的人嗎？為什麼又來跟我借錢了?,我是什麼超級倒楣的人嗎？為什麼又來跟我借錢了?
為什麼來跟我借錢了?我是什麼很賤的人嗎？,為什麼來跟我借錢了?我是什麼超級倒楣的人嗎？
我是什麼很賤的人嗎？為什麼來跟我借錢了?,我是什麼超級倒楣的人嗎？為什麼來跟我借錢了?
你昨天去哪裡了我找你找很久,你昨天去哪裡了？我找你找了很久
你昨天去哪裡了,你昨天去哪裡了？
我找你找很久你昨天去哪裡了,我找你找很久，你昨天去哪裡了?
我找你找很久你昨天到底去哪裡了,我找你找很久，你昨天到底去哪裡了?
他找你找很久你昨天到底去哪裡了,他找你找很久，你昨天到底去哪裡了?
他找你找很久你昨天去哪裡了,他找你找很久，你昨天去哪裡了?
你找他找很久他昨天到底去哪裡了,你找他找很久，他昨天到底去哪裡了?
你找他找很久他昨天去哪裡了,你找他找很久，他昨天去哪裡了?
我找他找很久他昨天到底去哪裡了,我找他找很久，他昨天到底去哪裡了?
我找他找很久他昨天去哪裡了,我找他找很久，他昨天去哪裡了?
他們找他找很久他昨天到底去哪裡了,他們找他找很久，他昨天到底去哪裡了?
他們找他找很久他昨天去哪裡了,他們找他找很久，他昨天去哪裡了?
他們找你找很久你昨天到底去哪裡了,他們找你找很久，你昨天到底去哪裡了?
他們找你找很久你昨天去哪裡了,他們找你找很久，你昨天去哪裡了?
她們找你找很久你昨天到底去哪裡了,她們找你找很久，你昨天到底去哪裡了?
她們找你找很久你昨天去哪裡了,她們找你找很久，你昨天去哪裡了?
她們找她找很久她昨天到底去哪裡了,她們找她找很久，她昨天到底去哪裡了?
她們找她找很久她昨天去哪裡了,她們找她找很久，她昨天去哪裡了?
這件事情我真的很生氣但是我還是忍住了,這件事情讓我很生氣，但我還是忍住了
這件事情我很生氣但是我還是忍住了,這件事情讓我很生氣，但我還是忍住了
這件事情我真的超級生氣但是我還是忍住了,這件事情讓我很生氣，但我還是忍住了
這件事情我真的超級無敵生氣但是我還是忍住了,這件事情讓我很生氣，但我還是忍住了
這件事情我真的超生氣但是我還是忍住了,這件事情讓我很生氣，但我還是忍住了
這件事情我真的非常生氣但是我還是忍住了,這件事情讓我很生氣，但我還是忍住了
這件事情我真的無敵生氣但是我還是忍住了,這件事情讓我很生氣，但我還是忍住了
這件事情我真的十分生氣但是我還是忍住了,這件事情讓我很生氣，但我還是忍住了
這件事我真的很生氣但是我還是忍住了,這件事情讓我很生氣，但我還是忍住了
這件事我很生氣但是我還是忍住了,這件事情讓我很生氣，但我還是忍住了
這件事我真的超級生氣但是我還是忍住了,這件事情讓我很生氣，但我還是忍住了
這件事我真的超級無敵生氣但是我還是忍住了,這件事情讓我很生氣，但我還是忍住了
這件事我真的超生氣但是我還是忍住了,這件事情讓我很生氣，但我還是忍住了
這件事我真的非常生氣但是我還是忍住了,這件事情讓我很生氣，但我還是忍住了
這件事我真的無敵生氣但是我還是忍住了,這件事情讓我很生氣，但我還是忍住了
這件事我真的十分生氣但是我還是忍住了,這件事情讓我很生氣，但我還是忍住了
這事我真的很生氣但是我還是忍住了,這件事情讓我很生氣，但我還是忍住了
這事我很生氣但是我還是忍住了,這件事情讓我很生氣，但我還是忍住了
這事我真的超級生氣但是我還是忍住了,這件事情讓我很生氣，但我還是忍住了
這事我真的超級無敵生氣但是我還是忍住了,這件事情讓我很生氣，但我還是忍住了
這事我真的超生氣但是我還是忍住了,這件事情讓我很生氣，但我還是忍住了
這事我真的非常生氣但是我還是忍住了,這件事情讓我很生氣，但我還是忍住了
這事我真的無敵生氣但是我還是忍住了,這件事情讓我很生氣，但我還是忍住了
這事我真的十分生氣但是我還是忍住了,這件事情讓我很生氣，但我還是忍住了
這件事情他真的很生氣但是他還是忍住了,這件事情讓他很生氣，但他還是忍住了
這件事情他很生氣但是他還是忍住了,這件事情讓他很生氣，但他還是忍住了
這件事情他真的超級生氣但是他還是忍住了,這件事情讓他很生氣，但他還是忍住了
這件事情他真的超級無敵生氣但是他還是忍住了,這件事情讓他很生氣，但他還是忍住了
這件事情他真的超生氣但是他還是忍住了,這件事情讓他很生氣，但他還是忍住了
這件事情他真的非常生氣但是他還是忍住了,這件事情讓他很生氣，但他還是忍住了
這件事情他真的無敵生氣但是他還是忍住了,這件事情讓他很生氣，但他還是忍住了
這件事情他真的十分生氣但是他還是忍住了,這件事情讓他很生氣，但他還是忍住了
這件事他真的很生氣但是他還是忍住了,這件事情讓他很生氣，但他還是忍住了
這件事他很生氣但是他還是忍住了,這件事情讓他很生氣，但他還是忍住了
這件事他真的超級生氣但是他還是忍住了,這件事情讓他很生氣，但他還是忍住了
這件事他真的超級無敵生氣但是他還是忍住了,這件事情讓他很生氣，但他還是忍住了
這件事他真的超生氣但是他還是忍住了,這件事情讓他很生氣，但他還是忍住了
這件事他真的非常生氣但是他還是忍住了,這件事情讓他很生氣，但他還是忍住了
這件事他真的無敵生氣但是他還是忍住了,這件事情讓他很生氣，但他還是忍住了
這件事他真的十分生氣但是他還是忍住了,這件事情讓他很生氣，但他還是忍住了
這事他真的很生氣但是他還是忍住了,這件事情讓他很生氣，但他還是忍住了
這事他很生氣但是他還是忍住了,這件事情讓他很生氣，但他還是忍住了
這事他真的超級生氣但是他還是忍住了,這件事情讓他很生氣，但他還是忍住了
這事他真的超級無敵生氣但是他還是忍住了,這件事情讓他很生氣，但他還是忍住了
這事他真的超生氣但是他還是忍住了,這件事情讓他很生氣，但他還是忍住了
這事他真的非常生氣但是他還是忍住了,這件事情讓他很生氣，但他還是忍住了
這事他真的無敵生氣但是他還是忍住了,這件事情讓他很生氣，但他還是忍住了
這事他真的十分生氣但是他還是忍住了,這件事情讓他很生氣，但他還是忍住了
這件事情她真的很生氣但是她還是忍住了,這件事情讓她很生氣，但她還是忍住了
這件事情她很生氣但是她還是忍住了,這件事情讓她很生氣，但她還是忍住了
這件事情她真的超級生氣但是她還是忍住了,這件事情讓她很生氣，但她還是忍住了
這件事情她真的超級無敵生氣但是她還是忍住了,這件事情讓她很生氣，但她還是忍住了
這件事情她真的超生氣但是她還是忍住了,這件事情讓她很生氣，但她還是忍住了
這件事情她真的非常生氣但是她還是忍住了,這件事情讓她很生氣，但她還是忍住了
這件事情她真的無敵生氣但是她還是忍住了,這件事情讓她很生氣，但她還是忍住了
這件事情她真的十分生氣但是她還是忍住了,這件事情讓她很生氣，但她還是忍住了
這件事她真的很生氣但是她還是忍住了,這件事情讓她很生氣，但她還是忍住了
這件事她很生氣但是她還是忍住了,這件事情讓她很生氣，但她還是忍住了
這件事她真的超級生氣但是她還是忍住了,這件事情讓她很生氣，但她還是忍住了
這件事她真的超級無敵生氣但是她還是忍住了,這件事情讓她很生氣，但她還是忍住了
這件事她真的超生氣但是她還是忍住了,這件事情讓她很生氣，但她還是忍住了
